date,requests,error_rate,p95_latency_ms,missing_rate,positive_rate,mean_probability
2026-07-21,374,0.0106951871657754,107.84849999999999,0.016042780748663103,0.24866310160427807,0.383018743315508
2026-07-22,462,0.017316017316017316,109.946,0.008658008658008658,0.22727272727272727,0.3612037922077922
2026-07-23,368,0.016304347826086956,110.31349999999999,0.008152173913043478,0.23097826086956522,0.37071642934782606
2026-07-24,500,0.014,112.7645,0.012,0.274,0.394369662
2026-07-25,444,0.0045045045045045045,110.58399999999996,0.015765765765765764,0.240990990990991,0.36677504504504505
2026-07-26,470,0.006382978723404255,111.8529999999999,0.006382978723404255,0.2872340425531915,0.3877621361702127
2026-07-27,364,0.016483516483516484,112.54,0.016483516483516484,0.22527472527472528,0.3766858379120879
2026-07-28,421,0.004750593824228029,109.09,0.0166270783847981,0.2589073634204275,0.38081589073634203
2026-07-29,376,0.007978723404255319,108.2675,0.02127659574468085,0.2579787234042553,0.3823940372340425
2026-07-30,392,0.007653061224489796,110.06649999999999,0.015306122448979591,0.3112244897959184,0.41052880357142857
2026-07-31,426,0.046948356807511735,239.1525,0.051643192488262914,0.6126760563380281,0.5552419225352113
2026-08-01,374,0.0374331550802139,231.17049999999998,0.0374331550802139,0.5588235294117647,0.527252756684492
2026-08-02,400,0.05,229.72399999999993,0.05,0.57,0.5370755125
2026-08-03,371,0.05929919137466307,234.995,0.07008086253369272,0.5336927223719676,0.5259371859838274
